 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
3,Matrix Chain Multiplication,1,Approximate MCOP,,,,1,1,O(log^4 n),,,"[https://www.academia.edu/9377391/Matrix_Chain_Ordering_in_Polylog_Time_with_n_lg_n_Processors Bradford, Rawlins, Shannon (1992)]","Bradford, Rawlins, Shannon",1992,https://www.academia.edu/9377391/Matrix_Chain_Ordering_in_Polylog_Time_with_n_lg_n_Processors,,,,0,0,2,n: 2,$O(\log^4 n)$,$O(\log^4 n)$,4,https://www.academia.edu/9377391/Matrix_Chain_Ordering_in_Polylog_Time_with_n_lg_n_Processors,O(n log^3 n),13,,no,n: number of matrices in chain,n,,,COMMON CRCW PRAM,132,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,$n / \log n$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Approximate MCOP,35,,,1,0,O(\log n),,,[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf Czumaj (1996)],Czumaj,1996,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,,,,0,0,2,n: 2,$O(\log n)$,$O(log n)$,1,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,$O(n)$,10,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,yes (page 2),n: number of matrices in chain,n,,,CREW PRAM,120,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,1,1.1547,0,1,$n / \log n$,,0,0,https://web.archive.org/web/20180727180949/https://pdfs.semanticscholar.org/e8b8/40a921f7967b30ac161b3dd9654b27998ddb.pdf,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Approximate MCOP,35.1,,,1,0,O(\log \log n),,,[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf Czumaj (1996)],Czumaj,1996,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,,,,0,0,1.99,n: 1.99,$O(\log \log n)$,$O(log log n)$,0.1,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,$O(n)$,10,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,yes (page 2),n: number of matrices in chain,n,,,COMMON CRCW PRAM,132,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,1,1.1547,0,1,$n / \log \log n$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Approximate MCOP,33,,,1,1,O(log^4 n),,,[https://epubs.siam.org/doi/abs/10.1137/0225039 Prakesh Ramanan (1996)],Prakesh Ramanan,1996,https://epubs.siam.org/doi/abs/10.1137/0225039,,,,0,0,2.03,n: 2.03,$O(\log^4 n)$,$O(\log^4 n)$,4,https://epubs.siam.org/doi/abs/10.1137/0225039,$O(n\log^4 n)$?,14,https://epubs.siam.org/doi/abs/10.1137/0225039,no,$n$: number of matrices,n,,,CREW PRAM,120,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Approximate MCOP,,,,1,1,$O(\log^3 n)$,,,"[https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf Bradford, Rawlins, Shannon (1998)]","Bradford, Rawlins, Shannon",1998,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,,,,0,0,2.03,n: 2.03,$O(\log^3 n)$,$O(\log^3 n)$,3,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,$O(n\log^2 n)$,12,,no,$n$: number of matrices,n,,,COMMON CRCW PRAM,132,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n / \log n$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Approximate MCOP,,,,1,1,O(log^2 n log log n),,,"[https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf Bradford, Rawlins, Shannon (1998)]","Bradford, Rawlins, Shannon",1998,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,,,,0,0,2.03,n: 2.03,O(log^2 n log log n),O(log^2 n log log n),2.1,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,$O(n\log^2 n)$,12,,no,$n$: number of matrices,n,,,CRCW PRAM,130,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n / \log \log n$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Approximate MCOP,,,,1,1,O(log^2 n),,,"[https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf Bradford, Rawlins, Shannon (1998)]","Bradford, Rawlins, Shannon",1998,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,,,,0,0,2.03,n: 2.03,O(log^2 n),O(log^2 n),2,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,$O(n\log^2 n)$,12,,no,$n$: number of matrices,n,,,EREW PRAM,110,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Matrix Chain Scheduling Problem,34,,,1,1,O (log^3 n),,,[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf Czumaj (1993)],Czumaj,1993,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf,,,,0,0,2.02,n: 2.02,O(log^3 n),$O(log^3 n)$,3,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf,$O(n^2)$,20,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf,no?,$n$: number of matrices,n,,,CREW PRAM,120,words,5,n: 5,$O(n^2)$?,Derived: uses two arrays ($D$ and $c$) both of size $O(n^2)$,1,0,,0,,0,,0,1,$O(n^2 / \log^3 n)$,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,989,Inf,,,,,,,,1,,,Combinatorics
4,Longest Common Subsequence,1,LCS,,,,,,,,,[https://ieeexplore.ieee.org/document/21966 Aggarwal & Park (1988)],Aggarwal & Park,1988,https://ieeexplore.ieee.org/document/21966,,,,,,,,O(log m log n),O(log m log n),2,https://ieeexplore.ieee.org/document/21966,O(mn log n),21,https://ieeexplore.ieee.org/document/21966,no?,"m: length of shorter string
n: length of longer string",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(mn/log m),,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,ALCS; LCS,,,,,,,,,,"Alves, Cáceres, Song",2003,https://ieeexplore.ieee.org/iel5/8608/27277/01213150.pdf,,,,,,,,O(mn/p + log p),O(mn/p + log p),16,,O(mn),20,,,"n, m: lengths of strings",,,,BSP/CGM,400,,,,,,,,,0,,0,,0,1,p < sqrt(m),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Alves, Marzulo, Franca",2013,https://www.researchgate.net/profile/Leandro-Marzulo/publication/260087497_Unleashing_Parallelism_in_Longest_Common_Subsequence_Using_Dataflow/data/0deec52f7cec036fcb000000/WAMCA-2013-1.pdf,,,,,,,,O(mn/p),O(mn/p),0,,O(mn),20,,,"n, m: lengths of strings",,,,dataflow model,600,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,"[https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313 Apostolico, Atallah, Larmore, McFaddin (1990)]","Apostolico, Atallah, Larmore, McFaddin",1990,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,,,,,,,,O(log m log n),O(log m log n),2,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,O(mn log n),21,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,no?,"m: length of shorter string
n: length of longer string",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(mn/log m),,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,"[https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313 Apostolico, Atallah, Larmore, McFaddin (1990)]","Apostolico, Atallah, Larmore, McFaddin",1990,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,,,,,,,,O(log n (log log m)^2),O(log n (log log m)^2),1.15,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,O(mn log n log log m),21.1,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,no?,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(mn/log log m),,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Babu, Saxena",1997,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=634481,,,,,,,,O(log m),O(log m),1,,O(mn log m),21,,,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(mn),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Babu, Saxena",1997,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=634481,,,,,,,,O(log^2 n),O(log^2 n),2,,O(mn),20,,,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,mn/ logn,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Bakhouya, Serres, El-Ghazawi",2008,https://link.springer.com/chapter/10.1007/978-3-540-85451-7_70,,,,,,,,O(alpha n/T + m) + O((m+n)/T),O(m),10,,O(m+n),10,,,"m: length of shorter string
n: length of longer string
alpha: adjustment factor
T: number of threads",,,,Partitioned Global Address Space programming model (PGAS),600,,,,,,,,,0,,0,,0,1,T,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,Bohara,2014,https://elibrary.tucl.edu.np/bitstream/123456789/7492/1/Thesis_069MSCS670.pdf,,,,,,,,O(n),O(n),10,,O(n),10,,,n: length of both strings,,,,MapReduce,600,,,,,,,,,0,,0,,0,1,O(1)?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,0.001,,,,,,,,,,,"Chang, Ibarra, Palis",1987,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5009449,,,,,,,,,,,,,,,,,,,,one-way two-dimensional iterative array of finite-state machines (2-DIA),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Chen, Wan, Liu",2006,https://link.springer.com/content/pdf/10.1186/1471-2105-7-S4-S4.pdf,,,,,,,,"O(|LCS(X,Y)|)","O(|LCS(X,Y)|)",10,,O(L),20,,,"m: length of shorter string
n: length of longer string
L: number of identical char pairs",,,,MPP,700,,,,,,,,,0,,0,,0,1,"O(L/|LCS(X,Y)|)",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,0.001,,,,,,,,,,,"Eswaran, RajaGopalan",2010,http://www.anale-informatica.tibiscus.ro/download/lucrari/8-1-11-Sumathy.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Franklin, Seidel",2010,https://dl.acm.org/doi/pdf/10.1145/1878537.1878634,,,,,,,,O(n*(n^2/T^2)*T + nT +T^2 log T),O(n^2 log n),21,,O(n^3),30,,,"m: length of shorter string
n: length of longer string
alpha: adjustment factor
T: number of threads",,,,UPC (Unified Parallel C),600,,,,,,,,,0,,0,,0,1,T,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Freschi, Bogliolo",2004,https://www.sciencedirect.com/science/article/pii/S0020019004000602,,,,,,,,O(m + n) ,O(m + n) ,10,,O(mN + Mn − mn),20,,,"M, N: lengths of original strings
m, n: number of runs in their RLE representation",,,,systolic array,600,,,,,,,,,0,,0,,0,1,M + N,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Galper, Brutlag (synchronous Row Wavefront approach)",1990,https://wayback.stanford.edu/was/20180312101809mp_/http://cmgm.stanford.edu/~brutlag/Papers/galper90.pdf,,,,,,,,O(ceil(m/p)*(n+p)),O(m),10,,O(mn),20,,,,,,,shared memory,300,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Galper, Brutlag (asynchronous Row Wavefront approach) (also asynch DWF)",1990,https://wayback.stanford.edu/was/20180312101809mp_/http://cmgm.stanford.edu/~brutlag/Papers/galper90.pdf,,,,,,,,O(ceil(mn/p + p)),O(ceil(mn/p + p)),10,,O(mn+p^2),20,,,,,,,shared memory,300,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Galper, Brutlag (synchronous Diagonal Wavefront approach)",1990,https://wayback.stanford.edu/was/20180312101809mp_/http://cmgm.stanford.edu/~brutlag/Papers/galper90.pdf,,,,,,,,O(\sum_i^{m-1} ceil(i/p) + (n-m+1)ceil(m/p) ),O(m+n),10,,O(mn),20,,,,,,,shared memory,300,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,0.001,LCS,,,,,,,,,,"Hsu, Du",1984,https://www.sciencedirect.com/science/article/pii/0022000084900254/pdf,,,,,,,,O(m log(n/m) + m),O(m log(n/m) + m),10,,O(n log s + pm log(n/m) + pm),20,,,"n,m: lengths of strings m<=n
p: length of the LCS
s: number of distinct symbols",,,,unlisted,,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,ALCS,,,,,,,,,,Tiskin,2005,https://core.ac.uk/download/pdf/35010175.pdf,,,,,,,,O(mn/p) computation + O(n log p) communication + O(log p) barrier synchronization + O(n) memory per processor,O(mn/p + n log p),,,O(mn),20,,,assumes m ≥ n^{1/2} p log p,,,,BSP,400,,,,,,,,,0,,0,,0,1,p,,0,0,,SS_LCS consists in computing the length of the longest common subsequence of a and every substring of b,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LLCS;LCS,,,,,,,,,,"Krusche, Tiskin (dynamic programming)",2006,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=dd15623d9907870e7e7094a1570f40f6286a0891,,,,,,,,O(n^2/p · ( f + g/b + l/b^2)),O(n^2/p · ( f + g/b + l/b^2)),,,O(n^2 · ( f + g/b + l/b^2)),,,,"n: length of both strings
f: primitive operation time
g: communication gap
l: communication latency
b: memory block size",,,,BSP,400,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Krusche, Tiskin",2010,https://dl.acm.org/doi/pdf/10.1145/1810479.1810521,,,,,,,,O(n^2/p),O(n^{5/3}),16.5,,O(n^2),20,,,"n: length of both strings
p: number of processors",,,,BSP,400,,,,,,,,,0,,0,,0,1,p < n^{1/3},,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Lecroq, Luce, Myoupo",1997,https://www.sciencedirect.com/science/article/abs/pii/S0020019097000112,,,,,,,,O(n+m),O(n+m),10,,O(nm),20,,,"m: length of shorter string
n: length of longer string",,,,systolic array,600,,,,,,,,,0,,0,,0,1,m,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Luce, Myoupo",1998,https://www.sciencedirect.com/science/article/pii/S0167926098000030,,,,,,,,n+3m+p,O(n),10,,O(nm^2),30,,,"m: length of shorter string
n: length of longer string
p: length of an LCS",,,,"unidirectional, fault tolerant and modular semi- mesh architecture (systolic array)",600,,,,,,,,,0,,0,,0,1,1/2m(m+1),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,SLCS (find the set of all LCSes); LCS,,,,,,,,,,"Luce, Myoupo",1998,https://www.sciencedirect.com/science/article/pii/S0167926098000030,,,,,,,,n+3m+p+l(m+2p-1),O(n+lm),,,O((n+lm)m^2),,,,"m: length of shorter string
n: length of longer string
p: length of an LCS
l: the number of input sequences C_l (|C_l|=p) needed to output a sequence empty of \Psi_k information",,,,"unidirectional, fault tolerant and modular semi- mesh architecture (systolic array)",600,,,,,,,,,0,,0,,0,1,1/2m(m+1),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,0.001,MLCS,,DP,,,,,,,,"Li, Li, Duan, Wang, Wang",2016,https://dl.acm.org/doi/pdf/10.1145/2939672.2939842,,,,,,,,1/N_p*O(|V|) + T_com,1/N_p*O(|V|) + T_com,,,O(d|Σ|n + |E| + |V|),,,,"d: number of sequences
Σ: alphabet
n: length of each sequence
E: set of edges in NCSG
V: set of vertices in NCSG",,,,"None listed
""problem-solving model"" is Non-redundant
Common Subsequence Graph (NCSG)",,,,,,,,,,0,,0,,0,1,N_p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Lin, Chen",1998,https://link.springer.com/content/pdf/10.1023/A:1008087824437.pdf,,,,,,,,O(m+n),O(m+n),10,,O(mn),20,,,"m: length of shorter string
n: length of longer string",,,,systolic array,600,,,,,,,,,0,,0,,0,1,m,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Lin, Lu, Fang",1991,https://ieeexplore.ieee.org/iel5/373/5730/00218203.pdf,,,,,,,,"max(log^2 m log log m, log n)","max(log^2 m log log m, log n)",2.1,,O(mn),20,,,"m: length of shorter string
n: length of longer string",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,"mn/max(log^2 m log log m, log n)",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Lin, Yeh",2002,https://www.tandfonline.com/doi/abs/10.1080/10637190208941431,improves constants by factor of 2,,,,,,,O(m+n),O(m+n),10,,O(mn),20,,,"m: length of shorter string
n: length of longer string",,,,systolic array,600,,,,,,,,,0,,0,,0,1,O(m),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Liu, Chen",2008,https://link.springer.com/chapter/10.1007/978-0-387-77251-6_8,,,,,,,,"O(|LCS(X,Y)|)","O(|LCS(X,Y)|)",10,,O(L),,,,L: number of identical character pairs,,,,Shenteng 1800 using MPI,700,,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Liu, Chen, Chen, Qin",2006,https://ieeexplore.ieee.org/iel5/10901/4673510/04673521.pdf,,,,,,,,"O(|LCS(X,Y)|)","O(|LCS(X,Y)|)",10,,O(L),,,,L: number of identical character pairs,,,,Shenteng 1800 using MPI,700,,,,,,,,,0,,0,,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,Lu,1990,https://link.springer.com/chapter/10.1007/3-540-53504-7_96,,,,,,,,O(log{\rho} log^2{n}) + O(log m + log n),O(log{\rho} log^2{n}) + O(log m + log n),,,O(r log{\rho} log^2{n}) + O((m+n)(log m + log n)),,,,"\rho: length of LCS
r: number of pairs of positions at which two symbols match",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,"max(r,m+n)",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,[https://ieeexplore.ieee.org/document/298210 Lu & Lin (1994)],Lu & Lin,1994,https://ieeexplore.ieee.org/document/298210,,,,,,,,O(log^2 m + log n),O(log^2 m + log n),2,https://ieeexplore.ieee.org/document/298210,O(mn (log m + log n/log m)),21,https://ieeexplore.ieee.org/document/298210,no?,c,,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(mn/log m),,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,[https://ieeexplore.ieee.org/document/298210 Lu & Lin (1994)],Lu & Lin,1994,https://ieeexplore.ieee.org/document/298210,,,,,,,,"O(log^2 m log log m) if 
log^2 m log log m > log n else
O(log n)",O(log^2 m log log m + log n),2.1,https://ieeexplore.ieee.org/document/298210,O(mn),20,https://ieeexplore.ieee.org/document/298210,no?,"m: length of shorter string
n: length of longer string",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,"O(mn/(log^2 m 
log log m)) if
log^2 m log log m
< log n else
O(mn/log n)",,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,[https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1 Mathies (1988)],Mathies,1988,https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1,,,,,,,,O(log m log n),O(log m log n),2,https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1,O(mn log m log n),22,https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1,no?,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(mn),,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,,,,,,,,,,"Myoupo, Seme",1999,https://www.sciencedirect.com/science/article/pii/S0743731599915344,,,,,,,,O(1),O(1),0,,O(mn),20,,,"m: length of shorter string
n: length of longer string",,,,BSR with multiplecriteria,,,,,,,,,,0,,0,,0,1,nm,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
